CAMPUS LUIZ MENEGUEL
CURSO: ;Ciência  da Computação  - Integral  - 28 Vagas
033420;673;DESCLASSIFICADO
022082;673;DESCLASSIFICADO
038915;672;DESCLASSIFICADO
021908;672;DESCLASSIFICADO
016239;672;DESCLASSIFICADO
010570;672;DESCLASSIFICADO
095659;668;DESCLASSIFICADO
087971;668;DESCLASSIFICADO
087946;668;DESCLASSIFICADO
086061;668;DESCLASSIFICADO
086036;668;DESCLASSIFICADO
084042;668;DESCLASSIFICADO
076438;668;DESCLASSIFICADO
074445;668;DESCLASSIFICADO
074420;668;DESCLASSIFICADO
056403;668;DESCLASSIFICADO
050759;668;DESCLASSIFICADO
050734;668;DESCLASSIFICADO
045090;668;DESCLASSIFICADO
039421;668;DESCLASSIFICADO
097697;667;DESCLASSIFICADO
095996;667;DESCLASSIFICADO
093977;667;DESCLASSIFICADO
093768;667;DESCLASSIFICADO
088099;667;DESCLASSIFICADO
086527;667;DESCLASSIFICADO
086398;667;DESCLASSIFICADO
084508;667;DESCLASSIFICADO
076929;667;DESCLASSIFICADO
033880;667;DESCLASSIFICADO
096056;666;DESCLASSIFICADO
095847;666;DESCLASSIFICADO
094037;666;DESCLASSIFICADO
093828;666;DESCLASSIFICADO
084568;666;DESCLASSIFICADO
074842;666;DESCLASSIFICADO
072744;666;DESCLASSIFICADO
050947;666;DESCLASSIFICADO
039609;666;DESCLASSIFICADO
033940;666;DESCLASSIFICADO
033061;666;DESCLASSIFICADO
021723;666;DESCLASSIFICADO
010385;666;DESCLASSIFICADO
094625;662;DESCLASSIFICADO
084017;662;DESCLASSIFICADO
078348;662;DESCLASSIFICADO
045065;662;DESCLASSIFICADO
039396;662;DESCLASSIFICADO
033727;662;DESCLASSIFICADO
028058;662;DESCLASSIFICADO
094617;661;DESCLASSIFICADO
094318;661;DESCLASSIFICADO
087938;661;DESCLASSIFICADO
087893;661;DESCLASSIFICADO
086028;661;DESCLASSIFICADO
084720;661;DESCLASSIFICADO
078340;661;DESCLASSIFICADO
078041;661;DESCLASSIFICADO
076385;661;DESCLASSIFICADO
074113;661;DESCLASSIFICADO
050681;661;DESCLASSIFICADO
044758;661;DESCLASSIFICADO
033719;661;DESCLASSIFICADO
033674;661;DESCLASSIFICADO
027751;661;DESCLASSIFICADO
016413;661;DESCLASSIFICADO
097757;660;DESCLASSIFICADO
096185;660;DESCLASSIFICADO
094166;660;DESCLASSIFICADO
088159;660;DESCLASSIFICADO
086587;660;DESCLASSIFICADO
086458;660;DESCLASSIFICADO
086249;660;DESCLASSIFICADO
084439;660;DESCLASSIFICADO
084230;660;DESCLASSIFICADO
078561;660;DESCLASSIFICADO
076860;660;DESCLASSIFICADO
076651;660;DESCLASSIFICADO
075980;660;DESCLASSIFICADO
074633;660;DESCLASSIFICADO
073961;660;DESCLASSIFICADO
062285;660;DESCLASSIFICADO
056616;660;DESCLASSIFICADO
045278;660;DESCLASSIFICADO
094538;655;DESCLASSIFICADO
087859;655;DESCLASSIFICADO
085949;655;DESCLASSIFICADO
083930;655;DESCLASSIFICADO
078261;655;DESCLASSIFICADO
076351;655;DESCLASSIFICADO
074333;655;DESCLASSIFICADO
050647;655;DESCLASSIFICADO
044978;655;DESCLASSIFICADO
039309;655;DESCLASSIFICADO
033640;655;DESCLASSIFICADO
027971;655;DESCLASSIFICADO
022302;655;DESCLASSIFICADO
097798;654;DESCLASSIFICADO
097685;654;DESCLASSIFICADO
096113;654;DESCLASSIFICADO
095888;654;DESCLASSIFICADO
095775;654;DESCLASSIFICADO
094190;654;DESCLASSIFICADO
094186;654;DESCLASSIFICADO
094094;654;DESCLASSIFICADO
093869;654;DESCLASSIFICADO
088200;654;DESCLASSIFICADO
088087;654;DESCLASSIFICADO
086386;654;DESCLASSIFICADO
086290;654;DESCLASSIFICADO
084592;654;DESCLASSIFICADO
084496;654;DESCLASSIFICADO
084271;654;DESCLASSIFICADO
084158;654;DESCLASSIFICADO
078602;654;DESCLASSIFICADO
076788;654;DESCLASSIFICADO
076692;654;DESCLASSIFICADO
076003;654;DESCLASSIFICADO
074899;654;DESCLASSIFICADO
074674;654;DESCLASSIFICADO
074561;654;DESCLASSIFICADO
073985;654;DESCLASSIFICADO
073981;654;DESCLASSIFICADO
072597;654;DESCLASSIFICADO
062326;654;DESCLASSIFICADO
056657;654;DESCLASSIFICADO
050988;654;DESCLASSIFICADO
050875;654;DESCLASSIFICADO
045319;654;DESCLASSIFICADO
045206;654;DESCLASSIFICADO
039650;654;DESCLASSIFICADO
038961;654;DESCLASSIFICADO
033981;654;DESCLASSIFICADO
033292;654;DESCLASSIFICADO
027623;654;DESCLASSIFICADO
021954;654;DESCLASSIFICADO
021950;654;DESCLASSIFICADO
016285;654;DESCLASSIFICADO
016281;654;DESCLASSIFICADO
010616;654;DESCLASSIFICADO
010612;654;DESCLASSIFICADO
004569;654;DESCLASSIFICADO
096125;649;DESCLASSIFICADO
095787;649;DESCLASSIFICADO
094106;649;DESCLASSIFICADO
086189;649;DESCLASSIFICADO
084379;649;DESCLASSIFICADO
084170;649;DESCLASSIFICADO
084009;649;DESCLASSIFICADO
078501;649;DESCLASSIFICADO
076800;649;DESCLASSIFICADO
076591;649;DESCLASSIFICADO
076430;649;DESCLASSIFICADO
074911;649;DESCLASSIFICADO
074782;649;DESCLASSIFICADO
074573;649;DESCLASSIFICADO
074412;649;DESCLASSIFICADO
056556;649;DESCLASSIFICADO
050887;649;DESCLASSIFICADO
050726;649;DESCLASSIFICADO
045218;649;DESCLASSIFICADO
045057;649;DESCLASSIFICADO
039549;649;DESCLASSIFICADO
039388;649;DESCLASSIFICADO
028050;649;DESCLASSIFICADO
085833;648;DESCLASSIFICADO
083814;648;DESCLASSIFICADO
072929;648;DESCLASSIFICADO
067075;648;DESCLASSIFICADO
039193;648;DESCLASSIFICADO
033524;648;DESCLASSIFICADO
033246;648;DESCLASSIFICADO
027577;648;DESCLASSIFICADO
027392;648;DESCLASSIFICADO
022186;648;DESCLASSIFICADO
016054;648;DESCLASSIFICADO
004716;648;DESCLASSIFICADO
094235;647;DESCLASSIFICADO
074030;647;DESCLASSIFICADO
033337;647;DESCLASSIFICADO
027668;647;DESCLASSIFICADO
027471;646;DESCLASSIFICADO
010464;646;DESCLASSIFICADO
004795;646;DESCLASSIFICADO
095984;642;DESCLASSIFICADO
095665;642;DESCLASSIFICADO
093965;642;DESCLASSIFICADO
093756;642;DESCLASSIFICADO
093646;642;DESCLASSIFICADO
087977;642;DESCLASSIFICADO
086515;642;DESCLASSIFICADO
086177;642;DESCLASSIFICADO
086067;642;DESCLASSIFICADO
084588;642;DESCLASSIFICADO
084367;642;DESCLASSIFICADO
084048;642;DESCLASSIFICADO
078489;642;DESCLASSIFICADO
078379;642;DESCLASSIFICADO
076917;642;DESCLASSIFICADO
076579;642;DESCLASSIFICADO
076469;642;DESCLASSIFICADO
075999;642;DESCLASSIFICADO
074770;642;DESCLASSIFICADO
074451;642;DESCLASSIFICADO
056544;642;DESCLASSIFICADO
056434;642;DESCLASSIFICADO
050765;642;DESCLASSIFICADO
045096;642;DESCLASSIFICADO
039537;642;DESCLASSIFICADO
039427;642;DESCLASSIFICADO
038957;642;DESCLASSIFICADO
033868;642;DESCLASSIFICADO
033758;642;DESCLASSIFICADO
033288;642;DESCLASSIFICADO
033237;642;DESCLASSIFICADO
028089;642;DESCLASSIFICADO
027619;642;DESCLASSIFICADO
027568;642;DESCLASSIFICADO
021899;642;DESCLASSIFICADO
094301;641;DESCLASSIFICADO
084703;641;DESCLASSIFICADO
076114;641;DESCLASSIFICADO
033403;641;DESCLASSIFICADO
022065;641;DESCLASSIFICADO
097729;640;DESCLASSIFICADO
094138;640;DESCLASSIFICADO
093800;640;DESCLASSIFICADO
084411;640;DESCLASSIFICADO
084202;640;DESCLASSIFICADO
076961;640;DESCLASSIFICADO
074605;640;DESCLASSIFICADO
062257;640;DESCLASSIFICADO
056588;640;DESCLASSIFICADO
050919;640;DESCLASSIFICADO
033912;640;DESCLASSIFICADO
094422;636;DESCLASSIFICADO
078145;636;DESCLASSIFICADO
076235;636;DESCLASSIFICADO
074217;636;DESCLASSIFICADO
072920;636;DESCLASSIFICADO
044862;636;DESCLASSIFICADO
038906;636;DESCLASSIFICADO
027855;636;DESCLASSIFICADO
016230;636;DESCLASSIFICADO
010561;636;DESCLASSIFICADO
084637;635;DESCLASSIFICADO
078024;635;DESCLASSIFICADO
076048;635;DESCLASSIFICADO
074413;635;DESCLASSIFICADO
074096;635;DESCLASSIFICADO
072591;635;DESCLASSIFICADO
066922;635;DESCLASSIFICADO
061253;635;DESCLASSIFICADO
045058;635;DESCLASSIFICADO
044741;635;DESCLASSIFICADO
039389;635;DESCLASSIFICADO
039072;635;DESCLASSIFICADO
039006;635;DESCLASSIFICADO
028051;635;DESCLASSIFICADO
027734;635;DESCLASSIFICADO
027239;635;DESCLASSIFICADO
021999;635;DESCLASSIFICADO
021570;635;DESCLASSIFICADO
016396;635;DESCLASSIFICADO
016330;635;DESCLASSIFICADO
015901;635;DESCLASSIFICADO
010661;635;DESCLASSIFICADO
010232;635;DESCLASSIFICADO
004563;635;DESCLASSIFICADO
094426;634;DESCLASSIFICADO
084004;634;DESCLASSIFICADO
078149;634;DESCLASSIFICADO
076239;634;DESCLASSIFICADO
074407;634;DESCLASSIFICADO
074221;634;DESCLASSIFICADO
072823;634;DESCLASSIFICADO
050721;634;DESCLASSIFICADO
044866;634;DESCLASSIFICADO
033140;634;DESCLASSIFICADO
027859;634;DESCLASSIFICADO
022190;634;DESCLASSIFICADO
021802;634;DESCLASSIFICADO
016133;634;DESCLASSIFICADO
076232;629;DESCLASSIFICADO
074214;629;DESCLASSIFICADO
039190;629;DESCLASSIFICADO
033521;629;DESCLASSIFICADO
096157;628;DESCLASSIFICADO
096028;628;DESCLASSIFICADO
095819;628;DESCLASSIFICADO
094009;628;DESCLASSIFICADO
088131;628;DESCLASSIFICADO
086559;628;DESCLASSIFICADO
086430;628;DESCLASSIFICADO
086221;628;DESCLASSIFICADO
084540;628;DESCLASSIFICADO
078533;628;DESCLASSIFICADO
076832;628;DESCLASSIFICADO
076623;628;DESCLASSIFICADO
074943;628;DESCLASSIFICADO
074814;628;DESCLASSIFICADO
045250;628;DESCLASSIFICADO
039581;628;DESCLASSIFICADO
066928;624;DESCLASSIFICADO
061259;624;DESCLASSIFICADO
027245;624;DESCLASSIFICADO
021576;624;DESCLASSIFICADO
015907;624;DESCLASSIFICADO
010238;624;DESCLASSIFICADO
094419;623;DESCLASSIFICADO
094272;623;DESCLASSIFICADO
094210;623;DESCLASSIFICADO
085830;623;DESCLASSIFICADO
084711;623;DESCLASSIFICADO
084612;623;DESCLASSIFICADO
083811;623;DESCLASSIFICADO
078142;623;DESCLASSIFICADO
078032;623;DESCLASSIFICADO
077995;623;DESCLASSIFICADO
076122;623;DESCLASSIFICADO
076085;623;DESCLASSIFICADO
074104;623;DESCLASSIFICADO
074005;623;DESCLASSIFICADO
072820;623;DESCLASSIFICADO
072638;623;DESCLASSIFICADO
044859;623;DESCLASSIFICADO
039043;623;DESCLASSIFICADO
038981;623;DESCLASSIFICADO
033411;623;DESCLASSIFICADO
033374;623;DESCLASSIFICADO
033137;623;DESCLASSIFICADO
027852;623;DESCLASSIFICADO
027705;623;DESCLASSIFICADO
027643;623;DESCLASSIFICADO
027468;623;DESCLASSIFICADO
027286;623;DESCLASSIFICADO
022183;623;DESCLASSIFICADO
022073;623;DESCLASSIFICADO
022036;623;DESCLASSIFICADO
021974;623;DESCLASSIFICADO
021799;623;DESCLASSIFICADO
021617;623;DESCLASSIFICADO
016404;623;DESCLASSIFICADO
016367;623;DESCLASSIFICADO
016130;623;DESCLASSIFICADO
015948;623;DESCLASSIFICADO
010461;623;DESCLASSIFICADO
010279;623;DESCLASSIFICADO
004792;623;DESCLASSIFICADO
094612;622;DESCLASSIFICADO
094481;622;DESCLASSIFICADO
087933;622;DESCLASSIFICADO
086023;622;DESCLASSIFICADO
078335;622;DESCLASSIFICADO
076425;622;DESCLASSIFICADO
076294;622;DESCLASSIFICADO
074276;622;DESCLASSIFICADO
045052;622;DESCLASSIFICADO
039383;622;DESCLASSIFICADO
033714;622;DESCLASSIFICADO
028045;622;DESCLASSIFICADO
027914;622;DESCLASSIFICADO
087943;621;DESCLASSIFICADO
084014;621;DESCLASSIFICADO
078345;621;DESCLASSIFICADO
076435;621;DESCLASSIFICADO
074417;621;DESCLASSIFICADO
028055;621;DESCLASSIFICADO
093692;617;DESCLASSIFICADO
088023;617;DESCLASSIFICADO
086113;617;DESCLASSIFICADO
084094;617;DESCLASSIFICADO
072886;617;DESCLASSIFICADO
066969;617;DESCLASSIFICADO
039473;617;DESCLASSIFICADO
033203;617;DESCLASSIFICADO
027534;617;DESCLASSIFICADO
021865;617;DESCLASSIFICADO
016196;617;DESCLASSIFICADO
010527;617;DESCLASSIFICADO
004610;617;DESCLASSIFICADO
072931;616;DESCLASSIFICADO
038917;616;DESCLASSIFICADO
033248;616;DESCLASSIFICADO
027579;616;DESCLASSIFICADO
021933;616;DESCLASSIFICADO
021910;616;DESCLASSIFICADO
016241;616;DESCLASSIFICADO
010595;616;DESCLASSIFICADO
072671;615;DESCLASSIFICADO
067002;615;DESCLASSIFICADO
015981;615;DESCLASSIFICADO
097796;611;DESCLASSIFICADO
095886;611;DESCLASSIFICADO
093867;611;DESCLASSIFICADO
088198;611;DESCLASSIFICADO
086288;611;DESCLASSIFICADO
084269;611;DESCLASSIFICADO
078600;611;DESCLASSIFICADO
076690;611;DESCLASSIFICADO
076023;611;DESCLASSIFICADO
074672;611;DESCLASSIFICADO
062324;611;DESCLASSIFICADO
056655;611;DESCLASSIFICADO
050986;611;DESCLASSIFICADO
045317;611;DESCLASSIFICADO
039648;611;DESCLASSIFICADO
033979;611;DESCLASSIFICADO
033312;611;DESCLASSIFICADO
016305;611;DESCLASSIFICADO
010636;611;DESCLASSIFICADO
094247;610;DESCLASSIFICADO
033349;610;DESCLASSIFICADO
027680;610;DESCLASSIFICADO
010673;610;DESCLASSIFICADO
094398;609;DESCLASSIFICADO
085809;609;DESCLASSIFICADO
078121;609;DESCLASSIFICADO
076211;609;DESCLASSIFICADO
074193;609;DESCLASSIFICADO
044838;609;DESCLASSIFICADO
039169;609;DESCLASSIFICADO
033500;609;DESCLASSIFICADO
027831;609;DESCLASSIFICADO
027319;609;DESCLASSIFICADO
022162;609;DESCLASSIFICADO
021650;609;DESCLASSIFICADO
016493;609;DESCLASSIFICADO
010312;609;DESCLASSIFICADO
004643;609;DESCLASSIFICADO
094618;605;DESCLASSIFICADO
087939;605;DESCLASSIFICADO
086029;605;DESCLASSIFICADO
084674;605;DESCLASSIFICADO
084010;605;DESCLASSIFICADO
078341;605;DESCLASSIFICADO
076431;605;DESCLASSIFICADO
074067;605;DESCLASSIFICADO
050727;605;DESCLASSIFICADO
033720;605;DESCLASSIFICADO
087932;604;DESCLASSIFICADO
087849;604;DESCLASSIFICADO
085939;604;DESCLASSIFICADO
085892;604;DESCLASSIFICADO
085837;604;DESCLASSIFICADO
083873;604;DESCLASSIFICADO
083818;604;DESCLASSIFICADO
078334;604;DESCLASSIFICADO
078204;604;DESCLASSIFICADO
076424;604;DESCLASSIFICADO
076341;604;DESCLASSIFICADO
074323;604;DESCLASSIFICADO
050720;604;DESCLASSIFICADO
050590;604;DESCLASSIFICADO
044921;604;DESCLASSIFICADO
039382;604;DESCLASSIFICADO
039252;604;DESCLASSIFICADO
039197;604;DESCLASSIFICADO
038940;604;DESCLASSIFICADO
033713;604;DESCLASSIFICADO
033630;604;DESCLASSIFICADO
033583;604;DESCLASSIFICADO
033528;604;DESCLASSIFICADO
033271;604;DESCLASSIFICADO
028044;604;DESCLASSIFICADO
027602;604;DESCLASSIFICADO
022292;604;DESCLASSIFICADO
022245;604;DESCLASSIFICADO
016264;604;DESCLASSIFICADO
010572;604;DESCLASSIFICADO
095904;603;DESCLASSIFICADO
095686;603;DESCLASSIFICADO
094531;603;DESCLASSIFICADO
093912;603;DESCLASSIFICADO
088216;603;DESCLASSIFICADO
087998;603;DESCLASSIFICADO
087852;603;DESCLASSIFICADO
086333;603;DESCLASSIFICADO
085942;603;DESCLASSIFICADO
084314;603;DESCLASSIFICADO
084069;603;DESCLASSIFICADO
083923;603;DESCLASSIFICADO
078618;603;DESCLASSIFICADO
078400;603;DESCLASSIFICADO
078254;603;DESCLASSIFICADO
076735;603;DESCLASSIFICADO
076344;603;DESCLASSIFICADO
074717;603;DESCLASSIFICADO
074690;603;DESCLASSIFICADO
074472;603;DESCLASSIFICADO
074326;603;DESCLASSIFICADO
062342;603;DESCLASSIFICADO
056455;603;DESCLASSIFICADO
051004;603;DESCLASSIFICADO
050786;603;DESCLASSIFICADO
050640;603;DESCLASSIFICADO
045335;603;DESCLASSIFICADO
045117;603;DESCLASSIFICADO
044971;603;DESCLASSIFICADO
039448;603;DESCLASSIFICADO
039302;603;DESCLASSIFICADO
033633;603;DESCLASSIFICADO
027964;603;DESCLASSIFICADO
022295;603;DESCLASSIFICADO
095711;599;DESCLASSIFICADO
094309;599;DESCLASSIFICADO
078425;599;DESCLASSIFICADO
076515;599;DESCLASSIFICADO
074497;599;DESCLASSIFICADO
056480;599;DESCLASSIFICADO
050811;599;DESCLASSIFICADO
045142;599;DESCLASSIFICADO
044749;599;DESCLASSIFICADO
039080;599;DESCLASSIFICADO
033804;599;DESCLASSIFICADO
028135;599;DESCLASSIFICADO
027742;599;DESCLASSIFICADO
094592;598;DESCLASSIFICADO
087913;598;DESCLASSIFICADO
086003;598;DESCLASSIFICADO
084649;598;DESCLASSIFICADO
083984;598;DESCLASSIFICADO
078315;598;DESCLASSIFICADO
077970;598;DESCLASSIFICADO
076405;598;DESCLASSIFICADO
076060;598;DESCLASSIFICADO
074387;598;DESCLASSIFICADO
074042;598;DESCLASSIFICADO
050701;598;DESCLASSIFICADO
045032;598;DESCLASSIFICADO
039363;598;DESCLASSIFICADO
039018;598;DESCLASSIFICADO
033694;598;DESCLASSIFICADO
028025;598;DESCLASSIFICADO
022011;598;DESCLASSIFICADO
016342;598;DESCLASSIFICADO
097814;597;DESCLASSIFICADO
095931;597;DESCLASSIFICADO
094622;597;DESCLASSIFICADO
094376;597;DESCLASSIFICADO
093885;597;DESCLASSIFICADO
086306;597;DESCLASSIFICADO
086033;597;DESCLASSIFICADO
084287;597;DESCLASSIFICADO
076708;597;DESCLASSIFICADO
072776;597;DESCLASSIFICADO
067107;597;DESCLASSIFICADO
056673;597;DESCLASSIFICADO
050731;597;DESCLASSIFICADO
045062;597;DESCLASSIFICADO
044816;597;DESCLASSIFICADO
039666;597;DESCLASSIFICADO
039393;597;DESCLASSIFICADO
039147;597;DESCLASSIFICADO
033997;597;DESCLASSIFICADO
033724;597;DESCLASSIFICADO
033478;597;DESCLASSIFICADO
027361;597;DESCLASSIFICADO
022140;597;DESCLASSIFICADO
021692;597;DESCLASSIFICADO
016086;597;DESCLASSIFICADO
016023;597;DESCLASSIFICADO
010417;597;DESCLASSIFICADO
010354;597;DESCLASSIFICADO
004748;597;DESCLASSIFICADO
094334;596;DESCLASSIFICADO
084736;596;DESCLASSIFICADO
078057;596;DESCLASSIFICADO
076147;596;DESCLASSIFICADO
074129;596;DESCLASSIFICADO
072602;596;DESCLASSIFICADO
061264;596;DESCLASSIFICADO
044774;596;DESCLASSIFICADO
039105;596;DESCLASSIFICADO
033436;596;DESCLASSIFICADO
027767;596;DESCLASSIFICADO
022098;596;DESCLASSIFICADO
021581;596;DESCLASSIFICADO
016429;596;DESCLASSIFICADO
004574;596;DESCLASSIFICADO
094611;592;DESCLASSIFICADO
094528;592;DESCLASSIFICADO
086022;592;DESCLASSIFICADO
084003;592;DESCLASSIFICADO
083920;592;DESCLASSIFICADO
078251;592;DESCLASSIFICADO
074406;592;DESCLASSIFICADO
050637;592;DESCLASSIFICADO
050594;592;DESCLASSIFICADO
045051;592;DESCLASSIFICADO
044968;592;DESCLASSIFICADO
039299;592;DESCLASSIFICADO
039256;592;DESCLASSIFICADO
027961;592;DESCLASSIFICADO
022249;592;DESCLASSIFICADO
