CAMPUS JACAREZINHO
CURSO: ;Direito - Noturno - 63Vagas
015793;570;DESCLASSIFICADO
010124;570;DESCLASSIFICADO
007831;570;DESCLASSIFICADO
004455;570;DESCLASSIFICADO
092129;565;DESCLASSIFICADO
082531;565;DESCLASSIFICADO
072540;565;DESCLASSIFICADO
072105;565;DESCLASSIFICADO
066436;565;DESCLASSIFICADO
066255;565;DESCLASSIFICADO
061202;565;DESCLASSIFICADO
055098;565;DESCLASSIFICADO
054917;565;DESCLASSIFICADO
049429;565;DESCLASSIFICADO
049248;565;DESCLASSIFICADO
046976;565;DESCLASSIFICADO
035638;565;DESCLASSIFICADO
029969;565;DESCLASSIFICADO
015850;565;DESCLASSIFICADO
009746;565;DESCLASSIFICADO
004512;565;DESCLASSIFICADO
004077;565;DESCLASSIFICADO
096674;560;DESCLASSIFICADO
096482;560;DESCLASSIFICADO
092553;560;DESCLASSIFICADO
089857;560;DESCLASSIFICADO
080259;560;DESCLASSIFICADO
072348;560;DESCLASSIFICADO
066871;560;DESCLASSIFICADO
060586;560;DESCLASSIFICADO
055341;560;DESCLASSIFICADO
052645;560;DESCLASSIFICADO
043579;560;DESCLASSIFICADO
041307;560;DESCLASSIFICADO
037007;560;DESCLASSIFICADO
031338;560;DESCLASSIFICADO
025669;560;DESCLASSIFICADO
024300;560;DESCLASSIFICADO
021519;560;DESCLASSIFICADO
020000;560;DESCLASSIFICADO
014331;560;DESCLASSIFICADO
010181;560;DESCLASSIFICADO
008662;560;DESCLASSIFICADO
003896;560;DESCLASSIFICADO
066679;555;DESCLASSIFICADO
061010;555;DESCLASSIFICADO
015658;555;DESCLASSIFICADO
009989;555;DESCLASSIFICADO
004320;555;DESCLASSIFICADO
092250;550;DESCLASSIFICADO
091799;550;DESCLASSIFICADO
082652;550;DESCLASSIFICADO
072045;550;DESCLASSIFICADO
066376;550;DESCLASSIFICADO
060707;550;DESCLASSIFICADO
055038;550;DESCLASSIFICADO
054587;550;DESCLASSIFICADO
049369;550;DESCLASSIFICADO
043700;550;DESCLASSIFICADO
042825;550;DESCLASSIFICADO
037156;550;DESCLASSIFICADO
031487;550;DESCLASSIFICADO
026242;550;DESCLASSIFICADO
025818;550;DESCLASSIFICADO
020149;550;DESCLASSIFICADO
014480;550;DESCLASSIFICADO
004017;550;DESCLASSIFICADO
082201;545;DESCLASSIFICADO
048918;545;DESCLASSIFICADO
043249;545;DESCLASSIFICADO
037580;545;DESCLASSIFICADO
031911;545;DESCLASSIFICADO
031237;545;DESCLASSIFICADO
025568;545;DESCLASSIFICADO
019899;545;DESCLASSIFICADO
014230;545;DESCLASSIFICADO
008561;545;DESCLASSIFICADO
002892;545;DESCLASSIFICADO
092272;540;DESCLASSIFICADO
090111;540;DESCLASSIFICADO
082674;540;DESCLASSIFICADO
081894;540;DESCLASSIFICADO
072067;540;DESCLASSIFICADO
070828;540;DESCLASSIFICADO
066398;540;DESCLASSIFICADO
065159;540;DESCLASSIFICADO
064237;540;DESCLASSIFICADO
060729;540;DESCLASSIFICADO
058568;540;DESCLASSIFICADO
055060;540;DESCLASSIFICADO
049391;540;DESCLASSIFICADO
043722;540;DESCLASSIFICADO
042942;540;DESCLASSIFICADO
037273;540;DESCLASSIFICADO
031604;540;DESCLASSIFICADO
019807;540;DESCLASSIFICADO
014138;540;DESCLASSIFICADO
009708;540;DESCLASSIFICADO
008469;540;DESCLASSIFICADO
004039;540;DESCLASSIFICADO
090565;535;DESCLASSIFICADO
070920;535;DESCLASSIFICADO
064691;535;DESCLASSIFICADO
031145;535;DESCLASSIFICADO
025476;535;DESCLASSIFICADO
013670;535;DESCLASSIFICADO
008001;535;DESCLASSIFICADO
002800;535;DESCLASSIFICADO
002332;535;DESCLASSIFICADO
099709;530;DESCLASSIFICADO
080513;530;DESCLASSIFICADO
070360;530;DESCLASSIFICADO
059022;530;DESCLASSIFICADO
053353;530;DESCLASSIFICADO
052899;530;DESCLASSIFICADO
047230;530;DESCLASSIFICADO
041561;530;DESCLASSIFICADO
035892;530;DESCLASSIFICADO
025935;530;DESCLASSIFICADO
025664;530;DESCLASSIFICADO
020266;530;DESCLASSIFICADO
008657;530;DESCLASSIFICADO
091992;525;DESCLASSIFICADO
082394;525;DESCLASSIFICADO
080352;525;DESCLASSIFICADO
070949;525;DESCLASSIFICADO
058407;525;DESCLASSIFICADO
052738;525;DESCLASSIFICADO
047069;525;DESCLASSIFICADO
041400;525;DESCLASSIFICADO
031266;525;DESCLASSIFICADO
030062;525;DESCLASSIFICADO
025597;525;DESCLASSIFICADO
019928;525;DESCLASSIFICADO
014259;525;DESCLASSIFICADO
008590;525;DESCLASSIFICADO
096298;520;DESCLASSIFICADO
092369;520;DESCLASSIFICADO
089950;520;DESCLASSIFICADO
089785;520;DESCLASSIFICADO
055157;520;DESCLASSIFICADO
052573;520;DESCLASSIFICADO
042795;520;DESCLASSIFICADO
041235;520;DESCLASSIFICADO
037126;520;DESCLASSIFICADO
035731;520;DESCLASSIFICADO
035566;520;DESCLASSIFICADO
031457;520;DESCLASSIFICADO
025788;520;DESCLASSIFICADO
020119;520;DESCLASSIFICADO
014450;520;DESCLASSIFICADO
009805;520;DESCLASSIFICADO
086700;515;DESCLASSIFICADO
082771;515;DESCLASSIFICADO
072164;515;DESCLASSIFICADO
066495;515;DESCLASSIFICADO
060826;515;DESCLASSIFICADO
060449;515;DESCLASSIFICADO
054780;515;DESCLASSIFICADO
049488;515;DESCLASSIFICADO
049111;515;DESCLASSIFICADO
043442;515;DESCLASSIFICADO
037773;515;DESCLASSIFICADO
004136;515;DESCLASSIFICADO
080187;510;DESCLASSIFICADO
054853;510;DESCLASSIFICADO
049184;510;DESCLASSIFICADO
046904;510;DESCLASSIFICADO
043515;510;DESCLASSIFICADO
037002;510;DESCLASSIFICADO
031333;510;DESCLASSIFICADO
029897;510;DESCLASSIFICADO
024228;510;DESCLASSIFICADO
019995;510;DESCLASSIFICADO
014326;510;DESCLASSIFICADO
092065;505;DESCLASSIFICADO
082467;505;DESCLASSIFICADO
066191;505;DESCLASSIFICADO
060522;505;DESCLASSIFICADO
037846;505;DESCLASSIFICADO
092113;500;DESCLASSIFICADO
082515;500;DESCLASSIFICADO
070983;500;DESCLASSIFICADO
066239;500;DESCLASSIFICADO
060570;500;DESCLASSIFICADO
054901;500;DESCLASSIFICADO
049232;500;DESCLASSIFICADO
043563;500;DESCLASSIFICADO
037894;500;DESCLASSIFICADO
036969;500;DESCLASSIFICADO
031300;500;DESCLASSIFICADO
031262;500;DESCLASSIFICADO
025593;500;DESCLASSIFICADO
019924;500;DESCLASSIFICADO
014293;500;DESCLASSIFICADO
014255;500;DESCLASSIFICADO
003880;500;DESCLASSIFICADO
025631;495;DESCLASSIFICADO
025534;495;DESCLASSIFICADO
019962;495;DESCLASSIFICADO
008624;495;DESCLASSIFICADO
002858;495;DESCLASSIFICADO
070945;490;DESCLASSIFICADO
066354;490;DESCLASSIFICADO
055016;490;DESCLASSIFICADO
043678;490;DESCLASSIFICADO
008586;490;DESCLASSIFICADO
003995;490;DESCLASSIFICADO
037067;480;DESCLASSIFICADO
031398;480;DESCLASSIFICADO
025729;480;DESCLASSIFICADO
020060;480;DESCLASSIFICADO
014391;480;DESCLASSIFICADO
008722;480;DESCLASSIFICADO
092228;475;DESCLASSIFICADO
082630;475;DESCLASSIFICADO
072023;475;DESCLASSIFICADO
060685;475;DESCLASSIFICADO
049347;475;DESCLASSIFICADO
070886;470;DESCLASSIFICADO
031203;470;DESCLASSIFICADO
019865;470;DESCLASSIFICADO
014196;470;DESCLASSIFICADO
008527;470;DESCLASSIFICADO
096527;465;DESCLASSIFICADO
096451;465;DESCLASSIFICADO
092598;465;DESCLASSIFICADO
090154;465;DESCLASSIFICADO
066648;465;DESCLASSIFICADO
061055;465;DESCLASSIFICADO
055310;465;DESCLASSIFICADO
047273;465;DESCLASSIFICADO
035935;465;DESCLASSIFICADO
015703;465;DESCLASSIFICADO
015627;465;DESCLASSIFICADO
010034;465;DESCLASSIFICADO
009958;465;DESCLASSIFICADO
004365;465;DESCLASSIFICADO
092227;460;DESCLASSIFICADO
089786;460;DESCLASSIFICADO
082629;460;DESCLASSIFICADO
072022;460;DESCLASSIFICADO
060684;460;DESCLASSIFICADO
055015;460;DESCLASSIFICADO
052574;460;DESCLASSIFICADO
049346;460;DESCLASSIFICADO
046905;460;DESCLASSIFICADO
043677;460;DESCLASSIFICADO
029898;460;DESCLASSIFICADO
024229;460;DESCLASSIFICADO
099752;455;DESCLASSIFICADO
092522;455;DESCLASSIFICADO
080556;455;DESCLASSIFICADO
072317;455;DESCLASSIFICADO
064280;455;DESCLASSIFICADO
060979;455;DESCLASSIFICADO
058611;455;DESCLASSIFICADO
052942;455;DESCLASSIFICADO
041604;455;DESCLASSIFICADO
004289;455;DESCLASSIFICADO
080188;450;DESCLASSIFICADO
072393;450;DESCLASSIFICADO
066724;450;DESCLASSIFICADO
066353;450;DESCLASSIFICADO
055386;450;DESCLASSIFICADO
041236;450;DESCLASSIFICADO
035567;450;DESCLASSIFICADO
003994;450;DESCLASSIFICADO
081910;435;DESCLASSIFICADO
031620;435;DESCLASSIFICADO
099934;430;DESCLASSIFICADO
080738;430;DESCLASSIFICADO
070131;430;DESCLASSIFICADO
064462;430;DESCLASSIFICADO
058793;430;DESCLASSIFICADO
041786;430;DESCLASSIFICADO
002103;430;DESCLASSIFICADO
090336;420;DESCLASSIFICADO
053124;420;DESCLASSIFICADO
047455;420;DESCLASSIFICADO
007772;420;DESCLASSIFICADO
099954;415;DESCLASSIFICADO
080758;415;DESCLASSIFICADO
070151;415;DESCLASSIFICADO
041806;415;DESCLASSIFICADO
002123;415;DESCLASSIFICADO
099635;410;DESCLASSIFICADO
092183;410;DESCLASSIFICADO
090037;410;DESCLASSIFICADO
080439;410;DESCLASSIFICADO
071978;410;DESCLASSIFICADO
066309;410;DESCLASSIFICADO
060640;410;DESCLASSIFICADO
058494;410;DESCLASSIFICADO
054971;410;DESCLASSIFICADO
052825;410;DESCLASSIFICADO
047156;410;DESCLASSIFICADO
041487;410;DESCLASSIFICADO
035818;410;DESCLASSIFICADO
003950;410;DESCLASSIFICADO
090356;405;DESCLASSIFICADO
082585;405;DESCLASSIFICADO
064482;405;DESCLASSIFICADO
058813;405;DESCLASSIFICADO
053144;405;DESCLASSIFICADO
049302;405;DESCLASSIFICADO
048627;405;DESCLASSIFICADO
047475;405;DESCLASSIFICADO
043633;405;DESCLASSIFICADO
042958;405;DESCLASSIFICADO
037289;405;DESCLASSIFICADO
025951;405;DESCLASSIFICADO
020282;405;DESCLASSIFICADO
007792;405;DESCLASSIFICADO
042921;385;DESCLASSIFICADO
037252;385;DESCLASSIFICADO
031583;385;DESCLASSIFICADO
025914;385;DESCLASSIFICADO
020245;385;DESCLASSIFICADO
081873;380;DESCLASSIFICADO
096363;375;DESCLASSIFICADO
066560;375;DESCLASSIFICADO
060891;375;DESCLASSIFICADO
055222;375;DESCLASSIFICADO
096325;365;DESCLASSIFICADO
092434;365;DESCLASSIFICADO
092396;365;DESCLASSIFICADO
086765;365;DESCLASSIFICADO
086727;365;DESCLASSIFICADO
082798;365;DESCLASSIFICADO
072229;365;DESCLASSIFICADO
072191;365;DESCLASSIFICADO
066522;365;DESCLASSIFICADO
060853;365;DESCLASSIFICADO
055184;365;DESCLASSIFICADO
049553;365;DESCLASSIFICADO
049515;365;DESCLASSIFICADO
009870;365;DESCLASSIFICADO
009832;365;DESCLASSIFICADO
004201;365;DESCLASSIFICADO
004163;365;DESCLASSIFICADO
096639;315;DESCLASSIFICADO
072505;315;DESCLASSIFICADO
066836;315;DESCLASSIFICADO
061167;315;DESCLASSIFICADO
021484;315;DESCLASSIFICADO
015815;315;DESCLASSIFICADO
010146;315;DESCLASSIFICADO
004477;315;DESCLASSIFICADO
043078;0;DESCLASSIFICADO
037409;0;DESCLASSIFICADO
064328;0;DESCLASSIFICADO
064390;0;DESCLASSIFICADO
066405;0;DESCLASSIFICADO
007982;0;DESCLASSIFICADO
013651;0;DESCLASSIFICADO
058677;0;DESCLASSIFICADO
002031;0;DESCLASSIFICADO
004276;0;DESCLASSIFICADO
020402;0;DESCLASSIFICADO
053008;0;DESCLASSIFICADO
091791;0;DESCLASSIFICADO
002081;0;DESCLASSIFICADO
004086;0;DESCLASSIFICADO
041652;0;DESCLASSIFICADO
041714;0;DESCLASSIFICADO
047321;0;DESCLASSIFICADO
053052;0;DESCLASSIFICADO
060736;0;DESCLASSIFICADO
026071;0;DESCLASSIFICADO
080666;0;DESCLASSIFICADO
041764;0;DESCLASSIFICADO
043239;0;DESCLASSIFICADO
047383;0;DESCLASSIFICADO
009755;0;DESCLASSIFICADO
026234;0;DESCLASSIFICADO
043241;0;DESCLASSIFICADO
048702;0;DESCLASSIFICADO
055107;0;DESCLASSIFICADO
060776;0;DESCLASSIFICADO
047339;0;DESCLASSIFICADO
055067;0;DESCLASSIFICADO
058721;0;DESCLASSIFICADO
009945;0;DESCLASSIFICADO
048910;0;DESCLASSIFICADO
066445;0;DESCLASSIFICADO
072074;0;DESCLASSIFICADO
082193;0;DESCLASSIFICADO
099800;0;DESCLASSIFICADO
099912;0;DESCLASSIFICADO
002313;0;DESCLASSIFICADO
054579;0;DESCLASSIFICADO
082721;0;DESCLASSIFICADO
090202;0;DESCLASSIFICADO
092509;0;DESCLASSIFICADO
037570;0;DESCLASSIFICADO
060966;0;DESCLASSIFICADO
064440;0;DESCLASSIFICADO
070109;0;DESCLASSIFICADO
080622;0;DESCLASSIFICADO
082030;0;DESCLASSIFICADO
082191;0;DESCLASSIFICADO
091789;0;DESCLASSIFICADO
092279;0;DESCLASSIFICADO
092319;0;DESCLASSIFICADO
001969;0;DESCLASSIFICADO
026232;0;DESCLASSIFICADO
031695;0;DESCLASSIFICADO
031901;0;DESCLASSIFICADO
041670;0;DESCLASSIFICADO
049398;0;DESCLASSIFICADO
059003;0;DESCLASSIFICADO
081985;0;DESCLASSIFICADO
090314;0;DESCLASSIFICADO
096248;0;DESCLASSIFICADO
096438;0;DESCLASSIFICADO
099818;0;DESCLASSIFICADO
037364;0;DESCLASSIFICADO
037572;0;DESCLASSIFICADO
043033;0;DESCLASSIFICADO
064346;0;DESCLASSIFICADO
072304;0;DESCLASSIFICADO
086650;0;DESCLASSIFICADO
096208;0;DESCLASSIFICADO
009715;0;DESCLASSIFICADO
015614;0;DESCLASSIFICADO
020357;0;DESCLASSIFICADO
031740;0;DESCLASSIFICADO
047433;0;DESCLASSIFICADO
048747;0;DESCLASSIFICADO
048908;0;DESCLASSIFICADO
052990;0;DESCLASSIFICADO
053102;0;DESCLASSIFICADO
054577;0;DESCLASSIFICADO
055297;0;DESCLASSIFICADO
058659;0;DESCLASSIFICADO
070059;0;DESCLASSIFICADO
080604;0;DESCLASSIFICADO
080716;0;DESCLASSIFICADO
082681;0;DESCLASSIFICADO
099862;0;DESCLASSIFICADO
001987;0;DESCLASSIFICADO
004046;0;DESCLASSIFICADO
026026;0;DESCLASSIFICADO
031903;0;DESCLASSIFICADO
043729;0;DESCLASSIFICADO
049438;0;DESCLASSIFICADO
053334;0;DESCLASSIFICADO
058771;0;DESCLASSIFICADO
064672;0;DESCLASSIFICADO
066635;0;DESCLASSIFICADO
070341;0;DESCLASSIFICADO
072114;0;DESCLASSIFICADO
086610;0;DESCLASSIFICADO
090220;0;DESCLASSIFICADO
090264;0;DESCLASSIFICADO
090546;0;DESCLASSIFICADO

CURSO: ; - Educação Físicas (Licenciatura) Noturno - 36Vagas
IDENTIFICACAO;PONTUACAO;CLASSIFICACAO
099998;0;DESCLASSIFICADO
082570;832;DESCLASSIFICADO
071963;832;DESCLASSIFICADO
066294;832;DESCLASSIFICADO
060625;832;DESCLASSIFICADO
054956;832;DESCLASSIFICADO
043618;832;DESCLASSIFICADO
092273;829;DESCLASSIFICADO
082675;829;DESCLASSIFICADO
055061;829;DESCLASSIFICADO
049392;829;DESCLASSIFICADO
043723;829;DESCLASSIFICADO
004040;829;DESCLASSIFICADO
037113;825;DESCLASSIFICADO
025775;825;DESCLASSIFICADO
014437;825;DESCLASSIFICADO
072068;822;DESCLASSIFICADO
066399;822;DESCLASSIFICADO
060730;822;DESCLASSIFICADO
009709;822;DESCLASSIFICADO
031444;818;DESCLASSIFICADO
020106;818;DESCLASSIFICADO
092168;811;DESCLASSIFICADO
049287;811;DESCLASSIFICADO
003935;811;DESCLASSIFICADO
070974;804;DESCLASSIFICADO
036960;804;DESCLASSIFICADO
031291;804;DESCLASSIFICADO
025622;804;DESCLASSIFICADO
019953;804;DESCLASSIFICADO
014284;804;DESCLASSIFICADO
008615;804;DESCLASSIFICADO
091844;803;DESCLASSIFICADO
082246;803;DESCLASSIFICADO
060301;803;DESCLASSIFICADO
043294;803;DESCLASSIFICADO
037625;803;DESCLASSIFICADO
079949;792;DESCLASSIFICADO
035328;792;DESCLASSIFICADO
023990;792;DESCLASSIFICADO
018321;792;DESCLASSIFICADO
